Date	MSFT	VTI
2016-08-29	58.099998	112.150002
2016-08-30	57.889998999999996	111.970001
2016-08-31	57.459998999999996	111.650002
2016-09-01	57.59	111.709999
2016-09-02	57.669998	112.279999
2016-09-06	57.610001000000004	112.599998
2016-09-07	57.66	112.75
2016-09-08	57.43	112.459999
2016-09-09	56.209998999999996	109.660004
2016-09-12	57.049999	111.190002
2016-09-13	56.529999	108.91999799999999
2016-09-14	56.259997999999996	108.93
2016-09-15	57.189999	110.050003
2016-09-16	57.25	109.610001
2016-09-19	56.93	109.769997
2016-09-20	56.810001	109.720001
2016-09-21	57.759997999999996	110.980003
2016-09-22	57.82	111.790001
2016-09-23	57.43	111.150002
2016-09-26	56.900002	110.269997
2016-09-27	57.950001	110.900002
2016-09-28	58.029999	111.550003
2016-09-29	57.400002	110.459999
2016-09-30	57.599998	111.33000200000001
2016-10-03	57.419998	110.989998
2016-10-04	57.240002000000004	110.489998
2016-10-05	57.639998999999996	110.91999799999999
2016-10-06	57.740002000000004	110.959999
2016-10-07	57.799999	110.540001
2016-10-10	58.040001000000004	111.139999
2016-10-11	57.189999	109.660004
2016-10-12	57.110001000000004	109.790001
2016-10-13	56.919998	109.400002
2016-10-14	57.419998	109.370003
2016-10-17	57.220001	109.059998
2016-10-18	57.66	109.699997
2016-10-19	57.529999	110.050003
2016-10-20	57.25	109.839996
2016-10-21	59.66	109.800003
2016-10-24	61.0	110.349998
2016-10-25	60.990002000000004	109.879997
2016-10-26	60.630001	109.550003
2016-10-27	60.099998	109.18
2016-10-28	59.869999	108.82
2016-10-31	59.919998	108.889999
2016-11-01	59.799999	108.08000200000001
2016-11-02	59.43	107.33000200000001
2016-11-03	59.209998999999996	106.860001
2016-11-04	58.709998999999996	106.790001
2016-11-07	60.419998	109.150002
2016-11-08	60.470001	109.620003
2016-11-09	60.169998	110.980003
2016-11-10	58.700001	111.370003
2016-11-11	59.02	111.410004
2016-11-14	58.119999	111.699997
2016-11-15	58.869999	112.57
2016-11-16	59.650002	112.410004
2016-11-17	60.639998999999996	112.980003
2016-11-18	60.349998	112.769997
2016-11-21	60.860001000000004	113.620003
2016-11-22	61.119999	113.949997
2016-11-23	60.400002	114.110001
2016-11-25	60.529999	114.550003
2016-11-28	60.610001000000004	113.889999
2016-11-29	61.09	114.050003
2016-11-30	60.259997999999996	113.779999
2016-12-01	59.200001	113.309998
2016-12-02	59.25	113.309998
2016-12-05	60.220001	114.099998
2016-12-06	59.950001	114.68
2016-12-07	61.369999	116.099998
2016-12-08	61.009997999999996	116.519997
2016-12-09	61.970001	117.150002
2016-12-12	62.169998	116.849998
2016-12-13	62.98	117.529999
2016-12-14	62.68	116.470001
2016-12-15	62.580002	116.949997
2016-12-16	62.299999	116.769997
2016-12-19	63.619999	117.099998
2016-12-20	63.540001000000004	116.870003
2016-12-21	63.540001000000004	116.540001
2016-12-22	63.549999	116.239998
2016-12-23	63.240002000000004	116.41999799999999
